Date,Open,High,Low,Close,Adj Close,Volume
3/19/2014,182.869995,183.630005,180.949997,181.910004,168.131531,954300
3/20/2014,181.899994,185.679993,181.839996,185.350006,171.310959,1327400
3/21/2014,186.929993,188.020004,180.75,180.850006,167.15184,1784500
3/24/2014,181.139999,181.509995,176.559998,177.539993,164.092499,1448100
3/25/2014,177.720001,178.929993,174.509995,176.470001,163.103607,1631800
3/26/2014,177.509995,178.25,173.839996,173.839996,160.672775,1448900
3/27/2014,173.289993,174.690002,171.589996,173.100006,159.988785,1391500
3/28/2014,173.490005,175.720001,173.259995,175.419998,162.133118,1124900
3/31/2014,176.589996,177.960007,175.970001,176.570007,163.195984,1010300
4/1/2014,177.259995,178.210007,174.259995,176.039993,162.706085,1163700
4/2/2014,176.179993,176.830002,174.619995,175.75,162.43808,1243900
4/3/2014,175.679993,176.309998,173.320007,173.75,160.5896,1356900
4/4/2014,174.110001,175.5,170.770004,170.869995,157.927689,1520800
4/7/2014,171.639999,172.330002,165.330002,167.589996,154.896164,2246400
4/8/2014,168.160004,169.990005,167.339996,168.710007,155.931351,1762800
4/9/2014,168.600006,173.029999,167.800003,172.970001,159.868622,1359900
4/10/2014,173.050003,173.210007,166.720001,167.470001,154.785217,1773300
4/11/2014,165.990005,167.649994,162.899994,164.679993,152.206497,1753900
4/14/2014,165.800003,168.649994,165.25,167.470001,154.785217,1417200
4/15/2014,167.520004,168.479996,164.339996,168.309998,155.561646,1248100
4/16/2014,169.729996,170.960007,168.339996,170,157.123657,1368300
4/17/2014,169.490005,172.259995,169.050003,170.979996,158.029373,1603800
4/21/2014,170.490005,172.419998,169.940002,171.949997,158.925888,741300
4/22/2014,172.199997,173.369995,170.940002,171,158.047897,1054700
4/23/2014,171.240005,171.690002,170.160004,170.630005,157.705902,1207200
4/24/2014,171.419998,172.300003,170.330002,170.460007,157.548767,853100
4/25/2014,170.470001,170.809998,167.619995,167.850006,155.136475,1030800
4/28/2014,167.639999,170.419998,166.300003,167.449997,154.766754,1840600
4/29/2014,167.529999,169.529999,166.949997,168.470001,155.709518,1088400
4/30/2014,168.369995,169.25,167.559998,169.190002,156.374924,1294300
5/1/2014,166.970001,170,164.580002,168.199997,155.459915,2813200
5/2/2014,168.5,169.270004,166.660004,167.009995,154.360107,1647900
5/5/2014,165.830002,169.100006,165.399994,168.710007,155.931351,1168200
5/6/2014,167.970001,168.440002,166.809998,166.839996,154.202957,975600
5/7/2014,166.550003,167.850006,165.679993,166.419998,153.814743,1216300
5/8/2014,166.789993,167.509995,165.529999,166.720001,154.092041,1343600
5/9/2014,165.960007,171.029999,165.770004,171,158.047897,2004100
5/12/2014,172.029999,174.300003,171.710007,174.229996,161.033218,1608000
5/13/2014,180,181,177.570007,180,166.366135,3302900
5/14/2014,178.25,179.75,177.339996,178.199997,164.702515,1579400
5/15/2014,177.399994,178.070007,176.270004,177.570007,164.120285,1593200
5/16/2014,176.509995,178.350006,175.830002,178.210007,164.711792,1040400
5/19/2014,177.800003,181.240005,177.729996,180.679993,166.994644,1573500
5/20/2014,180.539993,181.259995,178.880005,179.839996,166.218277,912800
5/21/2014,180.259995,183.679993,180.229996,183.270004,169.388489,1303900
5/22/2014,183.570007,185.410004,182.949997,183.589996,169.684219,1321100
5/23/2014,184.119995,184.410004,182.75,183.75,169.832123,1826500
5/27/2014,183.259995,184.139999,182.619995,183.369995,169.480881,1247100
5/28/2014,182.5,184.380005,181.089996,182.720001,168.880127,1100700
5/29/2014,183.110001,188.770004,182.619995,188.570007,174.287079,1844100
5/30/2014,188.440002,189.740005,187.399994,189.639999,175.276047,1273000
6/2/2014,189.839996,190.259995,188.809998,189.830002,175.451569,1085000
6/3/2014,190,192.029999,189.149994,191.630005,177.115326,1795500
6/4/2014,191.130005,191.5,188.539993,189.75,175.377686,1290500
6/5/2014,190.279999,190.589996,188.520004,188.660004,174.591049,1230900
6/6/2014,189.5,189.649994,188.100006,188.729996,174.655746,1262300
6/9/2014,188.570007,189.449997,186.630005,186.690002,172.76799,865700
6/10/2014,185.960007,187.080002,184.529999,185.589996,171.750015,1085400
6/11/2014,184.990005,187.479996,184.020004,187.160004,173.202942,1131100
6/12/2014,186.279999,186.830002,182.330002,183.270004,169.603012,1249800
6/13/2014,183.339996,184.050003,182.009995,182.610001,168.992279,863700
6/16/2014,182.720001,183.470001,181.740005,182.550003,168.936768,948100
6/17/2014,181.789993,185.039993,181.279999,184.660004,170.889359,1030600
6/18/2014,184.550003,185.699997,182.479996,185.25,171.435364,1002000
6/19/2014,185.960007,186.880005,183.979996,185.289993,171.472321,900000
6/20/2014,185.460007,186.479996,184,185.490005,171.657471,1399900
6/23/2014,184.830002,186.679993,184.100006,186.199997,172.314545,925000
6/24/2014,181.699997,186.710007,181.699997,184.429993,170.676514,934400
6/25/2014,184.490005,187.970001,183.389999,187.350006,173.378754,971500
6/26/2014,187.479996,188.949997,187.410004,188.089996,174.063583,1031400
6/27/2014,188.220001,189.259995,187.869995,188.919998,174.83165,1036400
6/30/2014,189,189.050003,185.770004,186.210007,172.323761,1342900
7/1/2014,186.5,190.149994,185.929993,189.460007,175.331375,1448000
7/2/2014,189,190.710007,188.830002,189.440002,175.312897,922900
7/3/2014,189.410004,190.240005,188.460007,190,175.831177,486100
